title,artist,summary,theme,core_feelings,access_ideas,visual,version_label,source,locale
Bohemian Rhapsody,Queen,"Operatic rock epic exploring guilt, fate, and freedom.",Drama & inner turmoil,"[""conflicted soul"", ""epic struggle"", ""wild release""]","[""Shift dynamics: tender intro, operatic middle, rock out safely."", ""Visualize cinematic inner battle."", ""Let final fade be resigned.""]",🎭⚡ Theatrical mask lightning bolt,,,
Let Me Live,Queen,Gospel-tinged plea for freedom and second chances.,Freedom & redemption,"[""pleading hope"", ""joyous release"", ""forgiveness""]","[""Blend rock and gospel feel; wide chorus smile."", ""Visualize breaking free into sun."", ""Support big belts safely.""]",☀️🎤 Choir and spotlight,,,
We Will Rock You,Queen,Stomping arena anthem of defiance and power.,Rebellion & unstoppable strength,"[""fight energy"", ""crowd unity"", ""swagger""]","[""Stomp/clap rhythm physically while singing."", ""Visualize stadium stamping feet together."", ""Keep grit safe on shouts.""]",👣🏟️ Stadium stomping feet,,,
Somebody to Love,Queen,Soulful gospel-rock plea for love and understanding.,Loneliness & yearning for love,"[""aching hope"", ""spiritual cry"", ""big yearning""]","[""Float tender verses then unleash big safe belts."", ""Visualize pleading in empty church or hall."", ""Let choir backing lift energy.""]",🙏🎶 Spotlight on empty stage,,,
Miss Celie’s Blues (Sister),Quincy Jones,Tender blues invitation to connection and sisterhood.,Comfort & loving bond,"[""warm sisterhood"", ""gentle flirt"", ""homey joy""]","[""Keep phrasing smooth and cozy."", ""Visualize sharing tea and safe smiles."", ""Swing lightly with warmth.""]",☕💜 Sisters laughing together,,,
Maybe God Is Trying to Tell You Something,Quincy Jones,Powerful gospel-soul cry of awakening and divine message.,Spiritual wake-up & release,"[""soul fire"", ""divine call"", ""urgent release""]","[""Sing full gospel cry safely; let passion grow."", ""Visualize spirit shaking you awake."", ""Clap and move with music.""]",🔥🙌 Light breaking through clouds,,,
Creep,Radiohead,Alt-rock confession of alienation and longing for belonging.,Self-doubt & yearning,"[""insecurity"", ""ache"", ""angst""]","[""Start soft and fragile; explode safely in chorus."", ""Visualize standing apart from crowd wanting in."", ""Let raw emotion color but stay controlled.""]",😶‍🌫️💔 Shadow outsider alone,,,
Georgia on My Mind,Ray Charles,Tender soulful ode to deep love and nostalgic home.,Love & homesickness,"[""wistful warmth"", ""devotion"", ""memory comfort""]","[""Sing smooth and heartfelt; gentle blues runs."", ""Visualize quiet southern sunset and longing."", ""Keep tempo easy and rich.""]",🌅🎹 River sunset with piano,,,
Hit the Road Jack,Ray Charles,"Playful, sassy break-up warning with blues swing.",Defiance & playful goodbye,"[""sass"", ""freedom"", ""cheeky anger""]","[""Bounce groove with crisp diction and attitude."", ""Visualize waving goodbye at door."", ""Keep tone light but firm.""]",👋🚗 Door slam cartoon,,,
What’d I Say,Ray Charles,"Joyous, sensual R&B jam with call and response.",Joy & flirtation,"[""playful lust"", ""dance energy"", ""celebration""]","[""Engage playful improv safely; call-response feel."", ""Visualize live club dancing and flirting."", ""Keep riffs energetic but supported.""]",🎷🔥 Dance floor sax and smiles,,,
Trouble,Ray LaMontagne,Soulful folk confession of inner struggle and love’s rescue.,Struggle & tender salvation,"[""aching honesty"", ""comfort"", ""hope""]","[""Sing husky but controlled; gentle falsetto touches."", ""Visualize darkness giving way to light through love."", ""Keep tempo intimate and steady.""]",🌧️🕯️ Candle in dark cabin,,,
Under the Bridge,Red Hot Chili Peppers,Melancholic alt-rock about loneliness and urban isolation.,Loneliness & quiet reflection,"[""urban ache"", ""longing for belonging"", ""wistful calm""]","[""Start whispery; rise to safe rock belt mid-song."", ""Visualize empty LA streets under bridge."", ""Keep verses intimate.""]",🌉🏙️ Empty bridge at dusk,,,
Losing My Religion,R.E.M.,Alt-rock lament of unrequited love and obsessive doubt.,Vulnerability & confusion,"[""yearning"", ""questioning faith"", ""emotional nakedness""]","[""Sing airy but strong, maintain calm dynamics."", ""Visualize wrestling feelings in secret room."", ""Lean into mandolin-like phrasing.""]",🙏💔 Cross shadow fading,,,
Seasons of Love,Rent,Broadway anthem counting love as life’s true measure.,Love & shared humanity,"[""warmth"", ""community"", ""celebration""]","[""Blend ensemble feel or solo big notes safely."", ""Visualize friends arm in arm reflecting on year."", ""Smile openly while singing.""]",🕯️❤️ Group with candles,,,
Love on the Brain,Rihanna,Retro soul-pop about toxic but irresistible love.,Painful desire & surrender,"[""ache"", ""passion"", ""raw vulnerability""]","[""Channel grit safely on high belts; warm lower register."", ""Visualize begging lover despite pain."", ""Stay bluesy but controlled.""]",💋💔 Broken heart in neon,,,
Umbrella,Rihanna,Comforting pop-R&B promise of loyalty and protection.,Loyal love & shelter,"[""steadfast care"", ""comfort"", ""friendship""]","[""Keep chorus warm, chesty but not harsh."", ""Visualize holding umbrella over loved one."", ""Move gently with beat.""]",☂️🤍 Two under umbrella rain,,,
La Bamba,Ritchie Valens,Festive rock adaptation of Mexican folk dance song.,Joyful celebration & heritage,"[""fiesta energy"", ""pride"", ""dance""]","[""Bright and playful; clear Spanish diction."", ""Visualize dancing fiesta crowd."", ""Smile and move hips lightly.""]",🎉🇲🇽 Colorful guitars and dancers,,,
Tiger Striped Sky,Roo Panes,Gentle indie folk reflection on hope through struggles.,Quiet hope & wonder,"[""soft resilience"", ""nature wonder"", ""tender peace""]","[""Keep breathy gentle tone; intimate guitar feel."", ""Visualize open field sky shifting after storm."", ""Stay mellow and warm.""]",🌅🐅 Tiger striped clouds,,,
